Artist;Track name;Track length;Album name;Year;Genre
Aqua;Happy Boys and Girls;3:36;Aquarium;1997;Pop
Eminem;Public Service Announcement;0:33;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;My Name Is;4:28;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Guilty Conscience (feat. Dr. Dre);3:19;The Slim Shady LP;1999;Hip-Hop/Rap
Koji Tsukada;Kimiwonosete;03:03;Kyary Pamyu Pamyu's Ghibli Set;2011;J-Pop
Koji Tsukada;Kazeninaru;03:53;Kyary Pamyu Pamyu's Ghibli Set;2011;J-Pop
maid boys;Jinnseinomeri-Go-Ranndo;03:30;Kyary Pamyu Pamyu's Ghibli Set;2011;J-Pop
Kyary Pamyu Pamyu;Way Way Mega Mix;07:19;Kyary Pamyu Pamyu's Ghibli Set;2011;J-Pop
Nightwish;The Riddler;5:15;Oceanborn;1998;Rock
Nightwish;The Pharaoh Sails to Orion;6:26;Oceanborn;1998;Rock
Nightwish;Wish I Had an Angel;4:03;Once;2004;Metal
Shakira;Nada;3:10;El Dorado;2017;Pop Latino
Shakira;Chantaje (feat. Maluma);3:15;El Dorado;2017;Pop Latino
